,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Arizona Cardinals,GB,36.00,9.0,1,0,3,0,2,8,77,101,178
1,Houston Texans,@Ten,25.00,1.0,1,0,3,0,1,6,227,30,257
2,Minnesota Vikings,NYG,20.00,4.0,3,0,0,0,1,17,272,91,363
3,St. Louis Rams,@Sea,20.00,4.0,1,0,2,0,1,17,253,59,312
4,Indianapolis Colts,@Mia,17.00,6.0,1,1,0,0,0,12,279,82,361
5,Washington Redskins,@Phi,16.00,5.0,0,0,2,0,1,24,353,45,398
6,Buffalo Bills,Dal,14.00,0.0,1,0,1,0,0,6,186,121,307
7,Baltimore Ravens,Pit,13.00,3.0,2,0,1,0,0,17,198,110,308
8,Atlanta Falcons,Car,11.00,2.0,0,0,1,0,0,13,113,155,268
9,Dallas Cowboys,@Buf,11.00,3.0,1,0,1,0,0,16,172,236,408
10,Kansas City Chiefs,Cle,11.00,0.0,1,0,0,1,0,13,136,232,368
11,New England Patriots,@NYJ,10.00,1.0,0,0,1,0,1,26,285,143,428
12,Cincinnati Bengals,@Den,9.00,3.0,0,0,1,0,0,20,277,113,390
13,Detroit Lions,SF,9.00,3.0,0,0,1,0,0,17,201,121,322
14,Oakland Raiders,SD,9.00,1.0,0,1,1,0,0,20,271,72,343
15,Carolina Panthers,@Atl,8.00,2.0,0,0,1,0,0,20,296,77,373
16,Chicago Bears,@TB,8.00,1.0,1,0,2,0,0,21,285,104,389
17,Denver Broncos,Cin,8.00,2.0,0,0,1,0,0,17,186,108,294
18,New York Jets,NE,8.00,2.0,1,0,0,0,0,20,221,63,284
19,Cleveland Browns,@KC,7.00,1.0,1,0,0,0,0,17,122,136,258
20,New Orleans Saints,Jax,7.00,2.0,2,0,0,0,0,27,347,65,412
21,Green Bay Packers,@Ari,6.00,2.0,1,0,1,0,0,38,260,121,381
22,Miami Dolphins,Ind,6.00,2.0,0,0,0,0,0,18,168,100,268
23,San Diego Chargers,@Oak,6.00,3.0,1,0,0,0,0,23,175,106,281
24,Pittsburgh Steelers,@Bal,5.00,1.0,0,0,0,0,0,20,265,121,386
25,Tampa Bay Buccaneers,Chi,4.00,1.0,0,0,0,1,0,26,153,174,327
26,Jacksonville Jaguars,@NO,3.00,1.0,0,0,0,1,0,38,402,135,537
27,New York Giants,@Min,3.00,3.0,0,0,0,0,0,49,150,218,368
28,Tennessee Titans,Hou,3.00,1.0,0,0,1,0,0,34,202,128,330
29,Philadelphia Eagles,Was,2.00,2.0,0,0,0,0,0,38,351,67,418
30,San Francisco 49ers,@Det,2.00,2.0,0,0,0,0,0,32,284,87,371
31,Seattle Seahawks,Stl,1.00,0.0,0,0,0,0,0,23,103,102,205
