Rk,ID,Player,Pos,Week,Team,Opp,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,32,Los Angeles Rams,DST,1,LAR,IND,9,4,5,2,1,1,2,0,9,28
2,52,Jacksonville Jaguars,DST,1,JAX,HOU,12,10,15,1,3,0,1,0,7,28
3,36,Baltimore Ravens,DST,1,BAL,CIN,8,5,5,4,1,0,0,0,0,25
4,26,Philadelphia Eagles,DST,1,PHI,WAS,8,4,8,1,3,0,1,0,17,22
5,28,Pittsburgh Steelers,DST,1,PIT,CLE,8,7,8,1,0,0,0,1,18,18
6,11,Detroit Lions,DST,1,DET,ARI,3,1,7,3,1,0,1,0,23,16
7,5,Carolina Panthers,DST,1,CAR,SF,3,4,9,1,1,0,0,0,3,15
8,97,Washington Redskins,DST,1,WAS,PHI,5,2,9,1,1,0,1,0,30,12
9,48,Dallas Cowboys,DST,1,DAL,NYG,5,3,4,1,0,0,0,0,3,12
10,12,Green Bay Packers,DST,1,GB,SEA,9,3,7,0,1,0,0,0,9,9
11,37,Buffalo Bills,DST,1,BUF,NYJ,2,1,5,2,0,0,0,0,12,9
12,1,Arizona Cardinals,DST,1,ARI,DET,5,1,4,1,0,0,1,0,35,8
13,84,Los Angeles Chargers,DST,1,LAC,DEN,5,4,9,1,1,0,0,0,24,8
14,90,Seattle Seahawks,DST,1,SEA,GB,5,4,9,1,0,0,0,0,17,7
15,8,Cleveland Browns,DST,1,CLE,PIT,1,1,1,1,1,0,0,0,21,5
16,2,Atlanta Falcons,DST,1,ATL,CHI,6,4,10,0,0,0,0,0,17,5
17,49,Denver Broncos,DST,1,DEN,LAC,5,1,6,1,0,0,0,0,21,5
18,93,San Francisco 49ers,DST,1,SF,CAR,2,0,2,1,1,0,0,0,23,4
19,7,Cincinnati Bengals,DST,1,CIN,BAL,6,1,3,1,0,0,0,0,20,4
20,82,New York Jets,DST,1,NYJ,BUF,6,2,5,1,0,0,0,0,21,4
21,55,Kansas City Chiefs,DST,1,KC,NE,6,3,6,0,0,0,0,0,27,3
22,75,New York Giants,DST,1,NYG,DAL,5,1,3,0,0,0,0,0,19,2
23,83,Oakland Raiders,DST,1,OAK,TEN,3,1,4,0,0,0,0,0,16,2
24,14,Indianapolis Colts,DST,1,IND,LAR,4,1,4,0,1,0,0,0,46,2
25,34,Tennessee Titans,DST,1,TEN,OAK,3,2,3,0,0,0,0,0,26,2
26,38,Chicago Bears,DST,1,CHI,ATL,4,2,5,0,0,0,0,0,23,2
27,67,Minnesota Vikings,DST,1,MIN,NO,3,1,3,0,0,0,0,0,19,2
28,21,New England Patriots,DST,1,NE,KC,4,3,4,0,1,0,0,0,42,1
29,69,New Orleans Saints,DST,1,NO,MIN,6,1,2,0,0,0,0,0,29,0
30,13,Houston Texans,DST,1,HOU,JAX,3,0,3,0,0,0,0,0,29,0
