"Cleveland Browns",3000,CLE,DST,IND,,,8.92
"Seattle Seahawks",3500,SEA,DST,TEN,,,8.83
"Tennessee Titans",2700,TEN,DST,SEA,,,9.72
"Indianapolis Colts",3200,IND,DST,CLE,,,9.09
"Houston Texans",2300,HOU,DST,NEP,,,5.82
"Detroit Lions",2400,DET,DST,ATL,,,8.13
"New England Patriots",3800,NEP,DST,HOU,,,9.96
"Kansas City Chiefs",2900,KCC,DST,LAC,,,9.76
"Los Angeles Chargers",2800,LAC,DST,KCC,,,7.32
"Arizona Cardinals",3000,ARI,DST,DAL,,,8.32
"Dallas Cowboys",2900,DAL,DST,ARI,,,8.2
"Washington Redskins",2400,WAS,DST,OAK,,,7.49
"Oakland Raiders",2500,OAK,DST,WAS,,,7.74
"Cincinnati Bengals",2500,CIN,DST,GBP,,,7.08
"Green Bay Packers",3800,GBP,DST,CIN,,,10.02
"Atlanta Falcons",2500,ATL,DST,DET,,,7.25
"New York Giants",3100,NYG,DST,PHI,,,8.57
"New Orleans Saints",2000,NOS,DST,CAR,,,4.52
"Tampa Bay Buccaneers",3200,TBB,DST,MIN,,,8.7
"Carolina Panthers",2600,CAR,DST,NOS,,,11.13
"Jacksonville Jaguars",3400,JAC,DST,BAL,,,8.74
"San Francisco 49ers",2900,SFO,DST,LAR,,,6.62
"Baltimore Ravens",3900,BAL,DST,JAC,,,12.73
"Minnesota Vikings",3300,MIN,DST,TBB,,,9.73
"Buffalo Bills",2600,BUF,DST,DEN,,,8.68
"Miami Dolphins",3700,MIA,DST,NYJ,,,10.99
"Philadelphia Eagles",3000,PHI,DST,NYG,,,11.26
"New York Jets",2100,NYJ,DST,MIA,,,6.53
"Chicago Bears",2300,CHI,DST,PIT,,,6.28
"Denver Broncos",3600,DEN,DST,BUF,,,10.83
"Pittsburgh Steelers",3400,PIT,DST,CHI,,,11.44
"Los Angeles Rams",3500,LAR,DST,SFO,,,11.3
